"wl","Transmission"
300,5.43163686528292e-06
301,7.04639377180349e-06
302,8.69391265645447e-06
303,1.12578640547589e-05
304,1.53395602332518e-05
305,2.05305481781881e-05
306,2.69148747806813e-05
307,3.64331199497192e-05
308,5.24134476044269e-05
309,7.42848382108141e-05
310,0.000104676124812686
311,0.000145633921999955
312,0.000201835284384222
313,0.000281813043944146
314,0.000374955891474071
315,0.000506522059039782
316,0.00067875109848281
317,0.000843750062835658
318,0.000963537734303688
319,0.00105441867918288
320,0.00115976014932739
321,0.00133212980550113
322,0.00160845632457529
323,0.00195198694651366
324,0.00230076650101663
325,0.00257896719693018
326,0.00285379350664983
327,0.00317757506016847
328,0.00376958425287321
329,0.00481678915474937
330,0.00627856980761843
331,0.00816226227061567
332,0.0103672992935584
333,0.0130076846613953
334,0.0163485512366673
335,0.0209450700982553
336,0.0279343133186815
337,0.0366389253758702
338,0.0464322012086427
339,0.0586021371550106
340,0.0727675304621678
341,0.0888728838175267
342,0.106895104993048
343,0.126478982650526
344,0.147629480299778
345,0.170196326396488
346,0.193816004491031
347,0.217932590803011
348,0.241894098352956
349,0.265324450053932
350,0.287845145236071
351,0.308919076079412
352,0.328852319248397
353,0.347420947197
354,0.36435362179218
355,0.381009352575628
356,0.396679223605184
357,0.410468828461684
358,0.423017705701723
359,0.435008210985424
360,0.446669567003234
361,0.457590979428128
362,0.468100680764108
363,0.477726233994494
364,0.488064150780754
365,0.498894303925179
366,0.507955038731939
367,0.516226797850096
368,0.524351317589336
369,0.532450541107419
370,0.540900589235585
371,0.549724727575646
372,0.558726971169681
373,0.56740016080976
374,0.575889166945784
375,0.584027711672463
376,0.591590610913696
377,0.599081876996843
378,0.606597655280789
379,0.614304671843836
380,0.621857286230609
381,0.628838453410839
382,0.635253269720327
383,0.6410302813551
384,0.646851163469309
385,0.652623255693377
386,0.657894938923242
387,0.662852238512772
388,0.667765254970616
389,0.672478156050429
390,0.676253105864698
391,0.679651062235654
392,0.682825922313759
393,0.685581501591891
394,0.68863384503642
395,0.691398389574979
396,0.693678997305275
397,0.695901281685836
398,0.697686570731219
399,0.699020348385379
400,0.700308884958467
401,0.701372783254692
402,0.701953532049594
403,0.702512997359102
404,0.70305760291202
405,0.703064078341665
406,0.703113529043851
407,0.703348467382085
408,0.703488643416891
409,0.703704851974266
410,0.704079692292112
411,0.704733783047659
412,0.70563274691185
413,0.706894702860023
414,0.708427866884711
415,0.710211990147253
416,0.712446674484108
417,0.714766187954126
418,0.717091752006396
419,0.719708959387972
420,0.723163276241699
421,0.727151812380939
422,0.731409413317578
423,0.736064099878247
424,0.740694760775481
425,0.745313052970587
426,0.75010929221334
427,0.755092543786247
428,0.760144860751924
429,0.765212722114577
430,0.770109936983451
431,0.774770850500373
432,0.779328802580085
433,0.783421771183575
434,0.787257685533823
435,0.791115031508003
436,0.794842518758291
437,0.798471898911261
438,0.80148409618919
439,0.804275629173933
440,0.807306340938473
441,0.810311156116064
442,0.812901640510008
443,0.815303436218903
444,0.817769842862524
445,0.819946039960966
446,0.821999657082953
447,0.824036338352363
448,0.826042099455244
449,0.8281726977732
450,0.83024969986422
451,0.832088374934036
452,0.833885038479174
453,0.835711821429425
454,0.837235152555861
455,0.838450200134339
456,0.839962346625582
457,0.841571638215809
458,0.842950006186005
459,0.844330985196598
460,0.845935188806492
461,0.847519377031185
462,0.848869815292537
463,0.849987868513297
464,0.851210732728897
465,0.852755175009318
466,0.854434046816527
467,0.85598111227031
468,0.857555391707912
469,0.859174649774253
470,0.860425859927301
471,0.861525589881807
472,0.862715209328197
473,0.863894897880094
474,0.86515443089085
475,0.866283415182067
476,0.867245390101386
477,0.868069596124915
478,0.868853481055993
479,0.869570358430965
480,0.870384384759214
481,0.87142533453026
482,0.872296604244686
483,0.872954922345087
484,0.873671526105382
485,0.874289886308349
486,0.874912346998254
487,0.875761437987051
488,0.876772478597332
489,0.877577448691668
490,0.87818239653054
491,0.878941927563988
492,0.879903224234468
493,0.880973630264704
494,0.882140984537837
495,0.883384958089317
496,0.884700685208211
497,0.886055095140812
498,0.887080247736871
499,0.888052304190223
500,0.889378333978587
501,0.890966663113156
502,0.892177886334043
503,0.892999617213691
504,0.893962441054643
505,0.894921432403508
506,0.895798192516232
507,0.896771166989548
508,0.897933515191195
509,0.899197500274609
510,0.900218260567662
511,0.90106097715542
512,0.901886736359184
513,0.902824368384037
514,0.903767893922678
515,0.904523802948965
516,0.905162104787327
517,0.905618093779213
518,0.905781517292475
519,0.905987829444385
520,0.906389969742283
521,0.906950608173713
522,0.907624440021932
523,0.908052776987428
524,0.908415520116511
525,0.908587056040879
526,0.90756288557006
527,0.906626784851841
528,0.906726994484874
529,0.907268849692366
530,0.907676118587805
531,0.907649898947693
532,0.907541608458896
533,0.907421554109008
534,0.907443588211053
535,0.907400660196123
536,0.907679538596703
537,0.909195109271802
538,0.910761633325959
539,0.911530642533711
540,0.912285405670813
541,0.912922305130679
542,0.913610518284648
543,0.914440887254528
544,0.915050942601006
545,0.915464387664849
546,0.916161804660932
547,0.91697261034227
548,0.91783869615632
549,0.918856382537409
550,0.91935698872149
551,0.919345826965025
552,0.919787011938225
553,0.920443020862143
554,0.921020834543807
555,0.921747567133504
556,0.922599622829745
557,0.923335718808596
558,0.924078591935962
559,0.924837162827584
560,0.925210871619733
561,0.925803305953159
562,0.926780158277258
563,0.927559197934793
564,0.928112725243249
565,0.928404965427152
566,0.928614097980276
567,0.928905718257799
568,0.929151917035413
569,0.929269788831371
570,0.929297411117565
571,0.92946432944305
572,0.929837572311475
573,0.930078177366923
574,0.93000848114893
575,0.930163065848573
576,0.930711523060002
577,0.931272779707592
578,0.93183671550358
579,0.932534112117753
580,0.933384806602035
581,0.934338756113387
582,0.935269012485168
583,0.936113579889284
584,0.936960478994944
585,0.938046099222257
586,0.939051594705471
587,0.939997168615667
588,0.941002785693436
589,0.942044184140049
590,0.943055149621543
591,0.943681529016394
592,0.944303185094496
593,0.94536208817395
594,0.946417424019493
595,0.947490597905848
596,0.948392257892354
597,0.94915926401418
598,0.949872011000824
599,0.950563405423409
600,0.951025543613961
601,0.95143094526005
602,0.952272166885138
603,0.952792175133376
604,0.952893897052111
605,0.95307183679121
606,0.953342001645571
607,0.953740804296087
608,0.954178121971856
609,0.954736742282864
610,0.955250097986727
611,0.955908588565787
612,0.956462616008491
613,0.956501858446783
614,0.956693288521684
615,0.957036596945428
616,0.957373615644039
617,0.957789742911205
618,0.958125823464641
619,0.958203242971248
620,0.958224103182705
621,0.958568763550557
622,0.958806767890026
623,0.959019135291935
624,0.959480564157709
625,0.960048719562314
626,0.960598309870059
627,0.961204148142662
628,0.961638043896519
629,0.96199238971338
630,0.962785711468453
631,0.963289280048139
632,0.963661178583858
633,0.96424593834798
634,0.964622244622478
635,0.965028190093516
636,0.965543037169471
637,0.965940069066793
638,0.966144713388478
639,0.966389453727239
640,0.966705887644032
641,0.967085178295265
642,0.967717795157528
643,0.96799211166453
644,0.967982385673218
645,0.968303800372107
646,0.968536923173898
647,0.968507729071161
648,0.968621266636271
649,0.968946544327403
650,0.96948215195616
651,0.969920190530352
652,0.970254840755978
653,0.97049290255281
654,0.970552223966399
655,0.971034243257827
656,0.971875301541611
657,0.972518380464819
658,0.972936202609746
659,0.973430409096073
660,0.974080226206315
661,0.974451395336111
662,0.97472272375388
663,0.974743535518364
664,0.974387348370201
665,0.974477912828128
666,0.97439591491794
667,0.97422255896965
668,0.974732109396578
669,0.975616805670479
670,0.976472870722334
671,0.977004458173769
672,0.977300636947513
673,0.977668121558158
674,0.978176607515372
675,0.979121815998261
676,0.979827937487453
677,0.980193910250743
678,0.980444261803829
679,0.980338778027739
680,0.979988341460351
681,0.979586765595693
682,0.9791718264351
683,0.978963193235368
684,0.979148460585218
685,0.979404285514561
686,0.97962818715692
687,0.979972340908192
688,0.980663474504065
689,0.981063438137049
690,0.98110574362207
691,0.980923391246881
692,0.980602714015104
693,0.980869595557568
694,0.981358382302017
695,0.981260194664773
696,0.981157498443813
697,0.980878219095455
698,0.980389671506665
699,0.98017749598901
700,0.980213607727661
